,1 Accurate Long Balls,1 Corners,1 Dribbles Attempted,1 Dribbles Succeeded,1 Fouls Conceded,1 Goals,1 Interceptions,1 Long Balls,1 Offsides,1 Pass Completion,1 Possession,1 Red Cards,1 Shots,1 Shots Blocked,1 Shots woodwork,1 Tackles Attempted,1 Throws,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Yellow Cards,2 Accurate Long Balls,2 Corners,2 Dribbles Attempted,2 Dribbles Succeeded,2 Fouls Conceded,2 Goals,2 Interceptions,2 Long Balls,2 Offsides,2 Pass Completion,2 Possession,2 Red Cards,2 Shots,2 Shots Blocked,2 Shots woodwork,2 Tackles Attempted,2 Throws,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Yellow Cards,winner,fh winner
349,15,2,3,1,5,0,3,30,0,0.675,0.28,0,3,0,0,17,13,166,1,0.046,0,9,1,23,13,3,0,4,15,1,0.906,0.72,0,4,1,0,6,13,426,1,0.27,1,0,0
350,10,2,5,4,11,0,11,27,1,0.761,0.386,0,6,2,0,5,9,197,3,0.26,3,20,3,6,5,7,1,10,35,1,0.834,0.614,0,11,5,0,10,7,314,3,1.153,0,2,2
351,21,2,14,8,13,0,4,35,0,0.755,0.359,0,4,1,0,7,7,188,1,0.107,1,17,2,8,6,10,1,2,29,2,0.851,0.641,0,8,3,0,10,10,335,2,0.434,1,2,2
352,16,1,4,1,10,0,2,30,1,0.695,0.272,0,0,0,0,9,13,164,0,0.0,2,23,2,11,8,3,1,4,36,2,0.886,0.728,0,6,1,1,7,15,438,3,0.925,1,2,2
353,28,7,19,8,7,0,2,41,1,0.872,0.755,0,7,5,0,11,13,392,1,0.388,0,10,2,10,4,10,0,10,28,1,0.661,0.245,0,4,1,0,14,5,127,2,0.26,1,1,0
354,23,4,9,4,6,1,5,44,3,0.838,0.671,0,11,2,1,2,13,376,6,1.662,1,11,0,4,3,4,2,7,34,1,0.696,0.329,0,5,0,0,11,7,184,3,0.552,0,1,2
355,30,1,15,12,3,2,5,33,2,0.93,0.684,0,7,0,0,5,11,469,4,1.53,0,14,3,11,8,4,1,7,26,0,0.802,0.316,0,7,3,0,8,7,217,3,1.459,0,1,1
356,12,4,15,9,12,1,4,25,0,0.768,0.378,0,9,3,0,10,11,224,2,0.551,0,19,1,13,6,8,1,3,29,1,0.872,0.622,0,3,1,0,11,13,368,1,0.892,1,0,0
357,10,2,6,3,14,0,9,29,1,0.609,0.221,0,3,0,0,8,5,128,1,0.211,1,18,4,5,4,2,3,3,30,1,0.874,0.779,0,8,1,0,6,13,451,4,0.326,0,2,2
358,14,0,8,3,6,1,13,29,0,0.681,0.215,0,4,1,0,15,9,141,2,0.669,0,15,0,8,4,8,1,2,29,0,0.905,0.785,0,2,0,0,9,12,515,2,0.245,0,1,0
359,12,2,7,3,8,2,2,25,3,0.793,0.305,0,6,1,0,12,4,193,3,1.045,1,12,1,13,7,9,4,2,18,1,0.92,0.695,0,5,0,0,9,5,439,5,1.123,2,2,2
360,13,2,7,4,4,0,7,34,0,0.62,0.198,0,7,1,0,11,4,129,1,0.711,0,21,5,15,9,3,0,2,29,2,0.901,0.802,0,7,2,0,4,8,523,2,0.266,0,2,0
361,23,4,12,8,6,2,2,33,1,0.889,0.779,0,5,1,0,7,15,413,2,0.243,0,11,2,5,2,13,1,4,21,0,0.701,0.221,0,7,3,1,10,6,117,1,0.679,0,1,1
362,21,3,21,12,9,2,2,34,0,0.908,0.744,0,7,1,1,7,9,459,2,1.982,0,9,0,8,5,10,0,4,20,0,0.709,0.256,0,3,0,0,12,12,158,1,0.083,2,1,1
363,33,3,14,11,2,4,7,40,1,0.914,0.783,0,11,3,0,6,9,502,5,2.795,0,10,1,4,4,11,0,10,25,1,0.647,0.217,0,2,0,0,11,11,139,0,0.198,1,1,1
364,8,4,9,5,9,1,6,27,1,0.654,0.291,0,4,1,0,10,13,133,2,1.146,2,22,4,8,4,5,1,3,37,4,0.802,0.709,0,3,1,0,15,13,324,2,0.284,0,0,0
